1	Epicerie A.N.D.E.S	1	\N	361	\N	494	43	636	44	\N	100000	\N	test	0	428	2008-03-26 15:50:46	2014-07-06 23:13:48	2014-04-18 00:00:00	237	https://apps.softinnov.fr/facturationzen/download/uuid/501f73ac-00c4-11e1-80b1-e06995889f76
2	Au Marché Conté	0	\N	3	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
3	A.I.R.E.S. 	1	\N	4	\N	486	104	488	105	\N	\N	\N	\N	0	92	2008-03-26 15:50:52	2014-05-30 08:58:30	2014-08-27 00:00:00	237	\N
4	Epicerie Sociale Croix Rouge	0	\N	5	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
5	Epicerie sociale	0	\N	6	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
6	Epicerie solidaire les 4 Saisons	0	\N	7	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	2014-11-04 00:00:00	237	\N
7	Assoc. Saint-Quentin Entraide	0	\N	8	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
8	Collectif des Associations Soissonnaises d'entraide	0	\N	9	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
9	Epicerie sociale	0	\N	10	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
10	Assoc. Game	0	\N	11	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
11	Association Point Rencontre	0	\N	12	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
12	Epicerie sociale	0	\N	13	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
13	Epicerie sociale	1	\N	14	\N	\N	\N	\N	\N	\N	\N	1	Adresse CCAS (qui porte l’épicerie) : 7 place Jules Ferry 05 000 GAP\
Tel CCAS : 04 92 53 24 58	0	61	2008-03-26 15:50:52	2014-07-24 16:07:03	2014-09-21 00:00:00	237	https://apps.softinnov.fr/facturationzen/download/uuid/c03ed015-ac1c-410b-91a4-6eab61a890af
14	Epicerie MIR	1	\N	15	\N	\N	1128	\N	1129	\N	\N	1	Directeur Adjoint : Fabrice ETTORE	0	61	2008-03-26 15:50:52	2014-06-26 10:21:30	2015-02-28 00:00:00	237	\N
15	CCAS	0	\N	16	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
16	Epicerie Sociale Nouzonville EPISOL	1	\N	17	\N	690	191	691	192	\N	\N	1	\N	0	211	2008-03-26 15:50:52	2014-08-21 13:55:06	2014-07-23 00:00:00	237	\N
17	Association l'Escale	0	\N	18	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
18	Epicerie sociale	0	\N	19	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
19	Association Episol	0	\N	20	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
20	Epicerie sociale 	0	\N	21	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
21	Coup de Pouce	0	\N	22	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
22	L'épicerie sociale	0	\N	23	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
23	Epicerie sociale Croix Rouge	0	\N	24	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
24	Ent'aide à Narbonne contre l'exclusion	0	\N	25	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
25	Epicerie sociale	1	\N	26	\N	1604	459	1605	460	\N	\N	1	\N	0	61	2008-03-26 15:50:52	2014-04-01 17:43:54	2014-11-29 00:00:00	237	\N
26	Aliment'Action	0	\N	27	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
27	La boutique sociale  C.A.S.I.M.	1	\N	28	\N	694	195	695	196	\N	\N	1	\N	0	428	2008-03-26 15:50:52	2014-04-01 15:31:32	2014-07-11 00:00:00	237	\N
28	APEAS pour VIGIES	0	\N	29	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
29	Fédération Rayons de Soleil	0	\N	30	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
30	Association l'Epi Vert	0	\N	31	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
31	Episol	2	\N	32	\N	\N	1198	5409	1199	\N	\N	1	\N	0	428	2008-03-26 15:50:52	2014-04-01 18:12:03	2014-11-07 00:00:00	237	\N
32	Coup d'Pouce	1	\N	33	\N	4899	1124	\N	1125	\N	\N	\N	\N	0	61	2008-03-26 15:50:52	2014-06-19 17:46:54	2015-05-31 00:00:00	237	\N
33	Accueil BoutiqueConseil (ABC)	0	\N	34	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
34	La Voix des Femmes	1	\N	35	\N	\N	\N	\N	\N	\N	\N	1	\N	0	61	2008-03-26 15:50:52	2014-07-03 13:18:06	2015-06-19 00:00:00	237	\N
35	ANCA (Association Accueil Nord Cantal Alimentation)	0	\N	36	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
36	Centre Social ACAIQ de Basseau	0	\N	37	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
37	Centre social CAJ le Grand Font	0	\N	38	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
38	Epicerie Sociale La boutique/ ar stalig	0	\N	39	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
39	L'EPI VERT	0	\N	40	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
40	Comité d'entraide Epicerie Sociale	0	\N	41	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
41	EIDER (Espace itinérant d'aide alimentaire en pays du Buffecois)	1	\N	42	\N	2369	613	2370	614	\N	\N	1	\N	0	61	2008-03-26 15:50:52	2014-07-30 13:34:03	2014-11-03 00:00:00	237	\N
42	Epicerie sociale 	0	\N	43	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
43	CCAS - Mme Jocelyne Goulard	0	\N	44	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
44	La Boussole	1	\N	45	\N	1122	337	1123	338	\N	\N	1	\N	0	61	2008-03-26 15:50:52	2014-04-01 19:35:03	2014-12-13 00:00:00	237	\N
45	Maison des Consom'Acteurs-EpisoL	1	\N	46	\N	1092	335	1093	336	\N	\N	1	\N	0	378	2008-03-26 15:50:52	2014-07-03 12:31:55	2015-02-08 00:00:00	237	\N
46	L'Epicerie Sociale	0	\N	47	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
47	Association A.D.M.R.	0	\N	48	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
48	EPICEA	2	\N	49	\N	1726	487	1727	488	\N	\N	1	\N	0	61	2008-03-26 15:50:52	2014-08-01 11:28:09	2015-09-23 00:00:00	238	https://apps.softinnov.fr/facturationzen/download/uuid/9bcf95ee-9078-4e3d-9ffb-74c56d564af4
49	Secours Catholique	0	\N	50	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
50	Association Tulle Solidarité	0	\N	51	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
51	Epicerie sociale et solidaire Epi'Sourire	0	\N	52	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
52	Association Steredenn	0	\N	53	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
53	Association CASCI Epicerie Solidaire La Source	1	\N	54	\N	3024	762	3025	763	\N	\N	1	\N	0	428	2008-03-26 15:50:52	2014-04-02 18:14:11	2015-02-14 00:00:00	237	\N
54	Le Magasin	0	\N	55	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
55	Le Panier Bourcain	0	\N	56	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
56	Ass Le Mistraou	0	\N	57	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
57	Assoc. Epicerie Sociale et Pédagogique	0	\N	58	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
58	Epices 	0	\N	59	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
59	association EPIREUIL	1	\N	60	\N	4047	953	7644	954	\N	\N	1	\N	0	61	2008-03-26 15:50:52	2014-06-05 15:53:05	2015-06-13 00:00:00	237	\N
60	Ass Chrysalide	0	\N	61	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
61	Epicerie sociale du Secours catholique	0	\N	62	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
62	Epicerie Sociale 	2	\N	63	\N	3610	880	3611	881	\N	\N	\N	\N	0	2608	2008-03-26 15:50:52	2014-07-16 09:40:20	\N	237	\N
63	A.F.T.A.M	0	\N	64	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
64	Epicerie Sociale La boutique	0	\N	65	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
65	Epicerie sociale de Quimper	0	\N	66	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
66	Epicerie Solidaire	2	\N	67	\N	681	185	682	186	\N	\N	1	\N	0	105	2008-03-26 15:50:52	2014-05-15 12:02:27	2014-08-03 00:00:00	237	\N
67	Epicerie Sociale Association protestante d'assistance	0	\N	68	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
68	Ensemble pour l'espoir	0	\N	69	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
69	Episol (Croix Rouge)	0	\N	70	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
70	Cap Centre	0	\N	71	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
71	Le Cabas	0	\N	72	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
72	ESCALE	2	\N	73	\N	\N	1032	\N	1033	\N	\N	1	\N	0	61	2008-03-26 15:50:52	2014-04-01 11:59:20	\N	237	\N
73	Association La Passerelle 	0	\N	74	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
74	Association Solidarité 33	0	\N	75	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
75	AIPS (Association intercantonale de Prévention et de Solidarité)	0	\N	76	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
76	Panier des 4 saisons	0	\N	77	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
77	C.M.S. de Coutras	0	\N	78	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
78	L'Eypicerie	1	\N	79	\N	\N	62	\N	63	\N	\N	\N	\N	0	24	2008-03-26 15:50:52	2009-09-01 09:18:02	\N	237	\N
79	Epicerie sociale du CCAS	0	\N	80	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
80	Association ENVOLS	1	\N	81	\N	622	167	623	168	\N	\N	1	\N	0	61	2008-03-26 15:50:52	2014-07-23 16:02:16	2015-06-13 00:00:00	237	https://apps.softinnov.fr/facturationzen/download/uuid/eabd8879-abeb-41ba-99e2-54d8affefebf
81	Epicerie sociale l'Escale	0	\N	82	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
82	l'épicerie sociale	0	\N	83	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
83	Epicerie La Passerelle 	0	\N	84	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
84	Epicerie sociale Association Fougères Solidarité	0	\N	85	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
85	Epicerie Sociale	0	\N	86	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
86	Assoc. Coup de Pouce	0	\N	87	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
87	Assoc. Le Petit Plus	0	\N	88	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
88	Assoc. Assiette-Eco	1	\N	89	\N	\N	\N	\N	\N	\N	\N	1	\N	0	61	2008-03-26 15:50:52	2014-06-30 17:29:30	2015-07-05 00:00:00	237	\N
89	Assoc. Gourmets Fûtés	0	\N	90	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
90	Assoc. L'Echo du Cœur	0	\N	91	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
91	Assoc. Le Sac à Malices	0	\N	92	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	1	2008-03-26 15:50:52	2008-03-26 15:50:52	\N	237	\N
